Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
346.36341730000277	30.0	40.0	800-900	17.6231805105861
346.36341730000277	30.0	40.0	900-1100	36.22285897988336
354.16516269999556	40.0	40.0	500-600	0.0
354.16516269999556	40.0	40.0	600-700	0.0
354.16516269999556	40.0	40.0	700-800	9.552013314863744
354.16516269999556	40.0	40.0	800-900	50.224754670006035
354.16516269999556	40.0	40.0	900-1100	121.67074307098925
362.351765600004	50.0	40.0	500-600	0.0
362.351765600004	50.0	40.0	600-700	0.0
362.351765600004	50.0	40.0	700-800	1.8777113219182013
362.351765600004	50.0	40.0	800-900	27.55825540987874
362.351765600004	50.0	40.0	900-1100	41.66825925006354
369.41884729999583	60.0	40.0	500-600	0.0
369.41884729999583	60.0	40.0	600-700	0.0
369.41884729999583	60.0	40.0	700-800	0.26347061612343664
369.41884729999583	60.0	40.0	800-900	1.618069563315704
369.41884729999583	60.0	40.0	900-1100	6.04753219566852
375.2963357999979	70.0	40.0	500-600	0.0
375.2963357999979	70.0	40.0	600-700	0.0
375.2963357999979	70.0	40.0	700-800	0.001531123039462098
375.2963357999979	70.0	40.0	800-900	0.002364831888391877
375.2963357999979	70.0	40.0	900-1100	-0.6195945434973611
385.1977640999976	80.0	40.0	500-600	0.0
385.1977640999976	80.0	40.0	600-700	0.0
385.1977640999976	80.0	40.0	700-800	0.010835089390848979
385.1977640999976	80.0	40.0	800-900	0.06641366465208548
385.1977640999976	80.0	40.0	900-1100	1.2324610049561076
397.37214019999374	0.0	50.0	500-600	0.0
397.37214019999374	0.0	50.0	600-700	0.0
397.37214019999374	0.0	50.0	700-800	0.006585331782637477
397.37214019999374	0.0	50.0	800-900	0.023131024750110796
397.37214019999374	0.0	50.0	900-1100	0.4192040556958387
406.57336639999994	10.0	50.0	500-600	0.0
406.57336639999994	10.0	50.0	600-700	0.0
406.57336639999994	10.0	50.0	700-800	0.02021913640287931
406.57336639999994	10.0	50.0	800-900	0.11613824228505948
406.57336639999994	10.0	50.0	900-1100	2.212267679939262
414.6549798000051	20.0	50.0	500-600	0.0
414.6549798000051	20.0	50.0	600-700	0.0
414.6549798000051	20.0	50.0	700-800	0.22111107900355326
414.6549798000051	20.0	50.0	800-900	1.1047282303801698
414.6549798000051	20.0	50.0	900-1100	3.268771308997395
427.2497771000053	30.0	50.0	500-600	0.0
427.2497771000053	30.0	50.0	600-700	0.0
427.2497771000053	30.0	50.0	700-800	3.3708734333792973
427.2497771000053	30.0	50.0	800-900	15.899844492034532
427.2497771000053	30.0	50.0	900-1100	27.0555333941206
436.5561691000039	40.0	50.0	500-600	0.0
436.5561691000039	40.0	50.0	600-700	0.0
436.5561691000039	40.0	50.0	700-800	2.0200720585624876
436.5561691000039	40.0	50.0	800-900	24.854368551231858
436.5561691000039	40.0	50.0	900-1100	31.881975715823312
446.8417297999986	50.0	50.0	500-600	0.0
446.8417297999986	50.0	50.0	600-700	0.0
446.8417297999986	50.0	50.0	700-800	1.1103530743704804
446.8417297999986	50.0	50.0	800-900	23.51728593989535
446.8417297999986	50.0	50.0	900-1100	34.32519902928906
453.76877340000647	60.0	50.0	500-600	0.0
453.76877340000647	60.0	50.0	600-700	0.0
453.76877340000647	60.0	50.0	700-800	0.09213204892686366
453.76877340000647	60.0	50.0	800-900	0.5543763157774971
453.76877340000647	60.0	50.0	900-1100	1.9283587567118181
462.09527989999333	70.0	50.0	500-600	0.0
462.09527989999333	70.0	50.0	600-700	0.0
462.09527989999333	70.0	50.0	700-800	0.017232073835389595
462.09527989999333	70.0	50.0	800-900	0.1049164516099066
462.09527989999333	70.0	50.0	900-1100	1.8989771537002542
468.91742030000023	80.0	50.0	500-600	0.0
468.91742030000023	80.0	50.0	600-700	0.0
468.91742030000023	80.0	50.0	700-800	0.0004933226982810352
468.91742030000023	80.0	50.0	800-900	-0.00714791790526157
468.91742030000023	80.0	50.0	900-1100	-0.5950295032878805
478.57345239999995	0.0	60.0	500-600	0.0
478.57345239999995	0.0	60.0	600-700	0.0
478.57345239999995	0.0	60.0	700-800	0.003868791077691709
478.57345239999995	0.0	60.0	800-900	0.025555807952468368
478.57345239999995	0.0	60.0	900-1100	0.601965208033459
485.53550169999653	10.0	60.0	500-600	0.0
485.53550169999653	10.0	60.0	600-700	0.0
485.53550169999653	10.0	60.0	700-800	0.009824721065634276
485.53550169999653	10.0	60.0	800-900	0.06297948780455505
485.53550169999653	10.0	60.0	900-1100	1.223691475187178
745.7925711999997	20.0	60.0	500-600	0.0
745.7925711999997	20.0	60.0	600-700	0.0
745.7925711999997	20.0	60.0	700-800	0.005217826415986956
745.7925711999997	20.0	60.0	800-900	-0.012626770030044091
745.7925711999997	20.0	60.0	900-1100	-1.8116932156868601
757.6878062000033	30.0	60.0	500-600	0.0
757.6878062000033	30.0	60.0	600-700	0.0
757.6878062000033	30.0	60.0	700-800	0.30917121243102624
757.6878062000033	30.0	60.0	800-900	1.4521356294415333
757.6878062000033	30.0	60.0	900-1100	4.913326149417339
766.1192217000062	40.0	60.0	500-600	0.0
766.1192217000062	40.0	60.0	600-700	0.0
766.1192217000062	40.0	60.0	700-800	0.8776363175348221
766.1192217000062	40.0	60.0	800-900	6.450141038464518
766.1192217000062	40.0	60.0	900-1100	12.203358853517237
772.8363735000021	50.0	60.0	500-600	0.0
772.8363735000021	50.0	60.0	600-700	0.0
772.8363735000021	50.0	60.0	700-800	0.2358739449785466
772.8363735000021	50.0	60.0	800-900	1.3239818873740654
772.8363735000021	50.0	60.0	900-1100	4.063711605193001
778.9588612999942	60.0	60.0	500-600	0.0
778.9588612999942	60.0	60.0	600-700	0.0
