Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
1504.0122458000114	70.0	60.0	500-600	0.005164706666666667
1504.0122458000114	70.0	60.0	600-700	0.009083306666666667
1504.0122458000114	70.0	60.0	700-800	0.015249966666666668
1535.327101700008	80.0	60.0	400-500	0.0007656213333333333
1535.327101700008	80.0	60.0	500-600	0.001955813333333333
1535.327101700008	80.0	60.0	600-700	0.005678639999999999
1535.327101700008	80.0	60.0	700-800	0.009120853333333335
1566.9052454000048	0.0	70.0	400-500	0.0005046106666666666
1566.9052454000048	0.0	70.0	500-600	0.0010241506666666667
1566.9052454000048	0.0	70.0	600-700	0.00215336
1566.9052454000048	0.0	70.0	700-800	0.0036903966666666666
1596.7172476999986	10.0	70.0	400-500	0.0007003173333333332
1596.7172476999986	10.0	70.0	500-600	0.0015374533333333332
1596.7172476999986	10.0	70.0	600-700	0.0033765866666666663
1596.7172476999986	10.0	70.0	700-800	0.006009206666666667
1623.2641012000095	20.0	70.0	400-500	0.003851586666666666
1623.2641012000095	20.0	70.0	500-600	0.01014068
1623.2641012000095	20.0	70.0	600-700	0.0176176
1623.2641012000095	20.0	70.0	700-800	0.028609199999999998
1640.0871222999995	30.0	70.0	400-500	0.14389733333333332
1640.0871222999995	30.0	70.0	500-600	0.3328106666666667
1640.0871222999995	30.0	70.0	600-700	0.4486866666666667
1640.0871222999995	30.0	70.0	700-800	0.3962633333333333
1651.4798983000073	40.0	70.0	400-500	1.2506293333333334
1651.4798983000073	40.0	70.0	500-600	3.15748
1651.4798983000073	40.0	70.0	600-700	3.682213333333333
1651.4798983000073	40.0	70.0	700-800	2.2925166666666668
1663.526068600011	50.0	70.0	400-500	0.38026133333333334
1663.526068600011	50.0	70.0	500-600	0.6769853333333333
1663.526068600011	50.0	70.0	600-700	0.7113506666666667
1663.526068600011	50.0	70.0	700-800	0.6103976666666667
1690.7899749000062	60.0	70.0	400-500	0.016804973333333334
1690.7899749000062	60.0	70.0	500-600	0.04079706666666666
1690.7899749000062	60.0	70.0	600-700	0.0750248
1690.7899749000062	60.0	70.0	700-800	0.09306266666666667
1717.2071101000038	70.0	70.0	400-500	0.0009379999999999999
1717.2071101000038	70.0	70.0	500-600	0.00241324
1717.2071101000038	70.0	70.0	600-700	0.006109266666666667
1717.2071101000038	70.0	70.0	700-800	0.009799879999999999
1743.3456283999985	80.0	70.0	400-500	0.0006489
1743.3456283999985	80.0	70.0	500-600	0.0016245213333333335
1743.3456283999985	80.0	70.0	600-700	0.00459796
1743.3456283999985	80.0	70.0	700-800	0.0076705
1778.7254230000108	0.0	80.0	400-500	0.00041851199999999995
1778.7254230000108	0.0	80.0	500-600	0.0008497893333333333
1778.7254230000108	0.0	80.0	600-700	0.0016429333333333334
1778.7254230000108	0.0	80.0	700-800	0.0028730833333333334
1804.4329994	10.0	80.0	400-500	0.00064338
1804.4329994	10.0	80.0	500-600	0.0014235093333333333
1804.4329994	10.0	80.0	600-700	0.0030548533333333338
1804.4329994	10.0	80.0	700-800	0.004698513333333333
1829.553172400003	20.0	80.0	400-500	0.001054656
1829.553172400003	20.0	80.0	500-600	0.002317253333333333
1829.553172400003	20.0	80.0	600-700	0.00617032
1829.553172400003	20.0	80.0	700-800	0.010300833333333332
1855.7916134999978	30.0	80.0	400-500	0.001296272
1855.7916134999978	30.0	80.0	500-600	0.003168453333333333
1855.7916134999978	30.0	80.0	600-700	0.006387093333333333
1855.7916134999978	30.0	80.0	700-800	0.009979753333333332
1883.4251721000037	40.0	80.0	400-500	0.00234636
1883.4251721000037	40.0	80.0	500-600	0.005308986666666666
1883.4251721000037	40.0	80.0	600-700	0.008761226666666667
1883.4251721000037	40.0	80.0	700-800	0.0135929
1909.6672598000005	50.0	80.0	400-500	0.0017095146666666664
1909.6672598000005	50.0	80.0	500-600	0.004228653333333334
1909.6672598000005	50.0	80.0	600-700	0.00835556
1909.6672598000005	50.0	80.0	700-800	0.013047533333333333
1936.9702172000107	60.0	80.0	400-500	0.0010322626666666667
1936.9702172000107	60.0	80.0	500-600	0.0025755866666666663
1936.9702172000107	60.0	80.0	600-700	0.006106199999999999
1936.9702172000107	60.0	80.0	700-800	0.009740046666666667
1962.980120799999	70.0	80.0	400-500	0.0006824826666666666
1962.980120799999	70.0	80.0	500-600	0.00171128
1962.980120799999	70.0	80.0	600-700	0.0047056266666666655
1962.980120799999	70.0	80.0	700-800	0.0075011466666666665
1989.244371599998	80.0	80.0	400-500	0.0005833733333333333
1989.244371599998	80.0	80.0	500-600	0.0014298026666666667
1989.244371599998	80.0	80.0	600-700	0.004075479999999999
1989.244371599998	80.0	80.0	700-800	0.006735226666666667
